User_Name	Latitude	Longitude
	-29.80163402173913	15.784942836956521
CAIRO DA PLUG	-75.308847	40.359977
↔ SOSA  !!	-74.286428	40.424228
	-19.89127775	14.742626
	-115.0641	36.161789
Ⓜ	-68.567337	-31.524822
Ge⭕️	56.217114	58.002574
cici	-1.760247	53.794237
ބ	-9.379618	52.574491
Saritcha	-122.47395	37.763703
yung r0b	-65.136165	-28.62428
desjua'n♥	-90.564699	38.587752
Mαríα✌	-99.112658	19.429874
priscilla	-77.220048	38.759989
Shantrice	-82.703426	34.56951
LUKE PLEASE	-76.290027	40.041192
Lucia Daniela✌	-92.087074	34.277392
Wonderland   ✌	-43.36659	-22.854265
Zé.	-1.760247	53.794237
Antonio Herrera	-51.070701	-29.90024
Baltazar's C.	5.046147	52.803831
Birthday Girl ✌	114.113701	22.372965
nick	-74.52349	40.41922
سارا    ★	-117.180942	33.09619
*	37.927336	26.611536
Olaf	-43.935714	-19.861588
Srta Ramosღ	-53.808838	-29.698298
✌	108.478988	-6.938736
ㅤㅤ	-93.631866	41.610506
Brasilero♥	-40.360807	-3.68559
Ná	-83.600805	40.655466
Vivii Ferreira	-85.641744	42.284033
lu	-76.921847	40.22738
العربية رياضة	101.786884	2.851058
Bri ♡	-79.007467	33.798657
CROWN ME KINGG	-43.257686	-22.927236
Cami✌	-48.540675	-27.593617
Jake Milky	-70.218639	43.791087
Jessicα✝ .	-65.287767	-26.850005
Lokita Soy Feliz✌	-99.028525	19.541457
Niña	-90.978883	31.946329
fly away ✈	-95.915544	36.028164
rAw	113.07066	3.19938
أبو عبدالله	121.029201	31.353016
الشقرديةة~HfC~	-95.124063	29.669832
♔ ‏الحب لجون ♔	105.190492	-5.106891
♚Sin Derella♔	-114.17153	51.017924
獨	126.204177	6.957292
#Mati.O	98.992035	18.793007
' Édy . Juиiσя	107.61062	-6.93597
( •ॢ◡-ॢ)	102.079262	14.973727
- marvin -	-99.132549	19.411648
-'вαявιє♥☺) ♥	139.792796	35.880631
. . . . .	-72.962108	40.799436
..	99.967786	19.243404
; 탱｡	-84.858464	34.249974
Acanale el Grande	-120.467859	46.614383
Agusss ♥♥	-71.293989	46.784289
Agüero	-86.363232	39.601206
Ailin	-49.234905	-25.376339
Ain	-43.380155	-22.940104
Ana Lampes †	-95.310275	29.660818
Angela Chavez	-81.416919	41.168747
Angelle   ☪	-60.970462	14.547416
Antonella .	-43.212412	-22.906228
Atali	-79.757429	36.494568
Biazinha ♥	-74.092349	4.743152
Brianna Sickler	106.706982	-6.557412
Cecy_ Online	-115.166217	36.123414
ChewsOnBoobs	-3.625016	40.427473
Coco.	101.688874	3.090658
D E S T I N Y ♥	125.12198	1.44054
De Boni!!	-98.712817	46.914807
Dom	-85.591602	38.293126
Dr.FeelGood	-77.412711	38.992797
Estefanía	-46.969549	-22.94286
Evα †	-97.367238	35.426387
FC Mi Luna Maite	136.910518	35.17452
FLORENCIA	-48.18847	-21.773997
Farhan	-65.989941	18.378683
F♪~	-71.256381	42.376495
GI Jason Norwood	-51.226149	-30.1128
GOODGIRL❤	-77.204602	39.162481
GÉSSIKA HERSHEY'S	-41.957621	-18.842472
HOPE The Evil Woman	2.203986	48.879089
IG @Mack4thward	-65.402376	-24.736986
Ian Somerhalder ∞	-43.373034	-22.922443
Indi ✌	-89.995302	38.207792
Izwan	50.575809	26.237404
JUNE 23	-121.407708	38.577261
Jaque	-95.451633	29.939116
JayaRahmaN™	-98.274157	44.055755
Jo	-110.915263	27.917162
Julissbeth acosta✌.	120.937469	15.047505
KiChonna...	-94.99002	29.739018
K❁RAIMA	-43.252303	-22.916086
Leito | ✯LWI✯	-71.176481	-38.88243
Lil Mama	-58.974839	-34.165268
Lobo	110.41569	-6.97876
Manu	-119.168608	34.170169
Marisol	-80.010748	40.382807
Meri Marcado Colo	-74.066454	4.639407
Miliii ♥	-75.453547	39.879472
